Item Name,Code,Quantity,Expiration Date
Apples,5649,9,2019-07-03
Apples,12312414,14,2018-06-13
Apples,12312414,27,2018-06-12
Banana,4568465,45,2018-11-12
Banana,1689546,65,2018-10-12
Lime,4565465,89,2019-02-03
Onions,684643,34,2018-12-01
Onions,465987651,17,2019-04-04
Oranges,124123,3,2019-12-04
Oranges,564987659,15,2020-01-01
Oranges,456987,8,2019-12-04
Peach,354694,65,2018-12-11
Peach,946598,1,2017-11-10
Pear,498944,101,2019-04-04
Pineapple,4568768686,507,2015-03-21
Tomatoes,659879897646897456,164,2018-07-12
Tomatoes,659879897646897456,2,2019-06-20
